X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
3653,3907152,32,4157,4650428,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
3,3903902,2,755,258010,0x2a65aca4d5fc5b5c859090a6c34d164135398226
60,3903959,1,643,300000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
66,3903965,1,642,1223029,0x2a65aca4d5fc5b5c859090a6c34d164135398226
101,3904000,1,1183,200000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
120,3904019,1,643,233080,0x2a65aca4d5fc5b5c859090a6c34d164135398226
122,3904021,214,24871,4685611,0x2a65aca4d5fc5b5c859090a6c34d164135398226
127,3904026,25,3406,4710252,0x2a65aca4d5fc5b5c859090a6c34d164135398226
143,3904042,2,754,523029,0x2a65aca4d5fc5b5c859090a6c34d164135398226
183,3904081,1,641,21000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
187,3904202,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
191,3904206,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
213,3904222,1,643,200000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
214,3904223,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
248,3904247,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
276,3904413,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
295,3904424,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
311,3904281,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
329,3904438,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
343,3904442,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
375,3904472,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
383,3904304,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
408,3904321,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
425,3904493,1,644,250000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
428,3904331,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
446,3904345,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
